regionsCode,regions,cx,cy,year,income
E12000004,East Midlands,479765.65390188433,337139.08003495267,1998,10181.76
E12000004,East Midlands,479765.65390188433,337139.08003495267,1999,10601.08
E12000004,East Midlands,479765.65390188433,337139.08003495267,2000,10981.03
E12000004,East Midlands,479765.65390188433,337139.08003495267,2001,11438.78
E12000004,East Midlands,479765.65390188433,337139.08003495267,2002,11718.62
E12000004,East Midlands,479765.65390188433,337139.08003495267,2003,12222.54
E12000004,East Midlands,479765.65390188433,337139.08003495267,2004,12721.59
E12000004,East Midlands,479765.65390188433,337139.08003495267,2005,13090.89
E12000004,East Midlands,479765.65390188433,337139.08003495267,2006,13505.78
E12000004,East Midlands,479765.65390188433,337139.08003495267,2007,14237.95
E12000004,East Midlands,479765.65390188433,337139.08003495267,2008,14437.76
E12000004,East Midlands,479765.65390188433,337139.08003495267,2009,14701.51
E12000004,East Midlands,479765.65390188433,337139.08003495267,2010,14757.03
E12000004,East Midlands,479765.65390188433,337139.08003495267,2011,15038.41
E12000004,East Midlands,479765.65390188433,337139.08003495267,2012,15528.22
E12000004,East Midlands,479765.65390188433,337139.08003495267,2013,16005.89
E12000004,East Midlands,479765.65390188433,337139.08003495267,2014,16491.57
E12000004,East Midlands,479765.65390188433,337139.08003495267,2015,17324.97
E12000004,East Midlands,479765.65390188433,337139.08003495267,2016,17321.46
E12000004,East Midlands,479765.65390188433,337139.08003495267,2017,17794.11
E12000004,East Midlands,479765.65390188433,337139.08003495267,2018,18326.65
E12000004,East Midlands,479765.65390188433,337139.08003495267,2019,18952.68
E12000004,East Midlands,479765.65390188433,337139.08003495267,2020,19136.73
E12000004,East Midlands,479765.65390188433,337139.08003495267,2021,19642.59
E12000005,West Midlands,381408.86318375857,286684.90945241903,1997,10151.9
E12000005,West Midlands,381408.86318375857,286684.90945241903,1998,10493.97
E12000005,West Midlands,381408.86318375857,286684.90945241903,1999,10883.31
E12000005,West Midlands,381408.86318375857,286684.90945241903,2000,11317.83
E12000005,West Midlands,381408.86318375857,286684.90945241903,2001,11786.9
E12000005,West Midlands,381408.86318375857,286684.90945241903,2002,12074.48
E12000005,West Midlands,381408.86318375857,286684.90945241903,2003,12405.76
E12000005,West Midlands,381408.86318375857,286684.90945241903,2004,12828.41
E12000005,West Midlands,381408.86318375857,286684.90945241903,2005,13126.79
E12000005,West Midlands,381408.86318375857,286684.90945241903,2006,13651.83
E12000005,West Midlands,381408.86318375857,286684.90945241903,2007,14010.86
E12000005,West Midlands,381408.86318375857,286684.90945241903,2008,14400.21
E12000005,West Midlands,381408.86318375857,286684.90945241903,2009,14708.62
E12000005,West Midlands,381408.86318375857,286684.90945241903,2010,14791.48
E12000005,West Midlands,381408.86318375857,286684.90945241903,2011,14984.9
E12000005,West Midlands,381408.86318375857,286684.90945241903,2012,15407.24
E12000005,West Midlands,381408.86318375857,286684.90945241903,2013,15984.76
E12000005,West Midlands,381408.86318375857,286684.90945241903,2014,16567.24
E12000005,West Midlands,381408.86318375857,286684.90945241903,2015,17496.93
E12000005,West Midlands,381408.86318375857,286684.90945241903,2016,17820.1
E12000005,West Midlands,381408.86318375857,286684.90945241903,2017,18100.24
E12000005,West Midlands,381408.86318375857,286684.90945241903,2018,18668.07
E12000005,West Midlands,381408.86318375857,286684.90945241903,2019,19130.17
E12000005,West Midlands,381408.86318375857,286684.90945241903,2020,19185.24
E12000005,West Midlands,381408.86318375857,286684.90945241903,2021,19648.86
E12000006,East of England,573089.6687204316,264272.9085606098,1997,11321.29
E12000006,East of England,573089.6687204316,264272.9085606098,1998,11505.91
E12000006,East of England,573089.6687204316,264272.9085606098,1999,11971.62
E12000006,East of England,573089.6687204316,264272.9085606098,2000,12602.24
E12000006,East of England,573089.6687204316,264272.9085606098,2001,13176.82
E12000006,East of England,573089.6687204316,264272.9085606098,2002,13493.8
E12000006,East of England,573089.6687204316,264272.9085606098,2003,13753.47
E12000006,East of England,573089.6687204316,264272.9085606098,2004,14197.93
E12000006,East of England,573089.6687204316,264272.9085606098,2005,14714.27
E12000006,East of England,573089.6687204316,264272.9085606098,2006,15165.44
E12000006,East of England,573089.6687204316,264272.9085606098,2007,15807.96
